ults: 1 - 104 of 104	   

			Jack	Building	Device/Slot/Port ▾	VLAN	Activity	Comments
	Protect this object	See all the users with access to this object	1002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/1  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	1003BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/2  	166 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	1027BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/3  	148 	View the activity on this jack[13]	View/add comments[5]
	Protect this object	See all the users with access to this object	1028BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/4  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	1029BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/5  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	1030BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/6  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	1034BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/7  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	1035BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/8  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	1036BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/9  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	1037BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/10  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	1038BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/11  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	1039BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/12  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	1041BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/13  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	1042BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/14  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	1050BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/15  	148 	View the activity on this jack[11]	View/add comments[5]
	Protect this object	See all the users with access to this object	1051BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/16  	148 	View the activity on this jack[5]	View/add comments[6]
	Protect this object	See all the users with access to this object	1062D1BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/18  	148 	View the activity on this jack[5]	View/add comments[6]
	Protect this object	See all the users with access to this object	1062D2BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/19  	148 	View the activity on this jack[4]	View/add comments[6]
	Protect this object	See all the users with access to this object	2001BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/20  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	2002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/21  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	2003BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/22  	148 	View the activity on this jack[13]	View/add comments[5]
	Protect this object	See all the users with access to this object	2004BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/23  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	2031BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/24  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	2032BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/25  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	2033BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/26  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	2034BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/27  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	2035BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/28  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	2037BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/29  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	2038BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/30  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	2050BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/31  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	2051BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/32  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3032BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/33  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3033BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/34  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	3034BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/35  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	3035BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/36  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3038BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/37  	148 	View the activity on this jack[8]	View/add comments[5]
	Protect this object	See all the users with access to this object	3039BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/38  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3040BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/39  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3041BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/40  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	3042BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/41  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	3043BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/42  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	3044BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/43  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	3045BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/44  	148 	View the activity on this jack[7]	View/add comments[5]
	Protect this object	See all the users with access to this object	3046BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/45  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4001BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/46  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	4002BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/47  	148 	View the activity on this jack[5]	View/add comments[5]
	Protect this object	See all the users with access to this object	4003BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/2/48  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4004BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/1  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4026BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/2  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4027BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/3  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4028BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/4  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4048BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/5  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4049BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/6  	148 	View the activity on this jack[9]	View/add comments[5]
	Protect this object	See all the users with access to this object	4050BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/7  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4051BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/8  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4052BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/9  	148 	View the activity on this jack[6]	View/add comments[5]
	Protect this object	See all the users with access to this object	4053BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/10  	148 	View the activity on this jack[10]	View/add comments[5]
	Protect this object	See all the users with access to this object	4054BK	Dunster House 	 mdf-dunster-bk-sw.fas.harvard.edu/3/11  	148 	View the activity on this jack[7]	View/add comments[5]
